llm,id,consulta
ES sin reescribir,pr-e13,¿A qué queda limitada la exposición máxima de Alphabet por sus arrendamientos con entidades de interés variable (VIE)?
ES sin reescribir,pr-e14,¿Por qué no consolida Meta en su balance el joint venture del campus de datacenters de Luisiana?
ES sin reescribir,pr-e15,¿Qué importe de pagos fijos por arrendamientos adicionales aún no iniciados tenía comprometidos Apple al cierre de su ejercicio 2024?
ES sin reescribir,pr-e16,¿Qué dice NVIDIA en su 10-K del ejercicio cerrado en enero de 2024 sobre las primas y depósitos pagados para asegurar suministro y capacidad?
ES sin reescribir,pr-e18,¿Qué porcentaje de los ingresos consolidados de Amazon aportó su segmento internacional en 2024?
ES sin reescribir,pr-e19,"¿Cuánto disminuiría el valor razonable de los valores de renta variable de Alphabet ante una caída adversa del 10 % de su precio, a 31 de diciembre de 2024?"
ES sin reescribir,pr-e20,¿Qué riesgo señalaba Microsoft en su 10-K de FY2024 por la impugnación de la FTC a la adquisición de Activision Blizzard?
ES sin reescribir,pr-c06,"¿Cómo evolucionó el beneficio neto de Apple entre FY2024 y FY2025, y qué papel jugaron los Servicios?"
ES sin reescribir,pr-c09,"¿Cuánto creció el gasto en I+D de Microsoft entre FY2024 y FY2025, y qué lo impulsó?"
ES sin reescribir,pr-c10,"¿Cómo varió el beneficio bruto de NVIDIA entre FY2024 y FY2025, y qué impulsó el margen?"
ES sin reescribir,pr-c11,"¿Cómo cambió Meta la política de amortización de sus servidores entre 2024 y 2025, y cómo afectó a su beneficio neto?"
ES sin reescribir,pr-c12,"¿Cómo cambió Amazon la vida útil de sus servidores y equipos de red entre 2024 y 2025, y cómo evolucionó su resultado operativo?"
ES sin reescribir,pr-c13,"¿Cómo varió el flujo de caja operativo de Alphabet entre 2024 y 2025, y qué dice la dirección sobre su inversión en infraestructura técnica?"
ES sin reescribir,of-001,¿Qué dice NVIDIA en su 10-K de FY2025 sobre la competencia en el mercado chino y los controles de exportación?
ES sin reescribir,of-002,¿Qué riesgo de seguridad asocia Microsoft en FY2025 al uso creciente de modelos de IA generativa en sus sistemas internos?
ES sin reescribir,of-003,¿Qué dice Meta en FY2025 sobre las bases legales en las que se apoya para transferir datos de la Unión Europea a Estados Unidos?
ES sin reescribir,of-004,¿Qué novedad arancelaria señala Apple entre los riesgos de su 10-K de FY2025?
ES sin reescribir,of-005,¿Qué demanda antimonopolio sobre su negocio de búsqueda menciona Alphabet en su 10-K de FY2025?
ES sin reescribir,of-006,"¿Qué porcentaje de los ingresos consolidados de Amazon aportó el segmento internacional en 2025, según el apartado de riesgo de mercado de su 10-K?"
ES sin reescribir,of-014,"¿Cuánto creció el revenue de Microsoft entre FY2024 y FY2025, y qué destaca la dirección como motor de ese crecimiento?"
ES sin reescribir,of-015,"¿Cuánto creció el revenue de NVIDIA entre FY2024 y FY2025, y a qué lo atribuye la dirección?"
ES sin reescribir,of-016,"¿Cuánto aumentó el gasto en I+D de Meta entre 2024 y 2025, y a qué lo atribuye la compañía?"
ES sin reescribir,of-017,"¿Cómo evolucionó el beneficio operativo de Amazon entre 2024 y 2025, y qué previsión dio para el primer trimestre siguiente?"
ES sin reescribir,of-018,"¿Cuánto crecieron los ingresos de Alphabet entre 2024 y 2025, y cuánto invirtió en capex en cada uno de esos ejercicios?"
ES sin reescribir,of-019,"¿Cómo cambió el beneficio bruto de Apple entre FY2024 y FY2025, y qué dice la dirección del margen bruto de productos?"
ES sin reescribir,of-020,"¿Cómo varió el beneficio neto de Meta entre 2024 y 2025, y qué explica esa variación?"
deepseek-v4-flash,pr-e13,What is the maximum exposure to loss for Alphabet Inc. related to operating leases with variable interest entities (VIEs)?
deepseek-v4-flash,pr-e14,Meta consolidation policy joint venture Louisiana data center campus balance sheet
deepseek-v4-flash,pr-e15,Apple fixed lease payments for leases not yet commenced fiscal 2024
deepseek-v4-flash,pr-e16,NVIDIA 10-K January 2024 premiums deposits paid secure supply capacity
deepseek-v4-flash,pr-e18,Amazon 10-K 2024 international segment net sales as percentage of consolidated revenue
deepseek-v4-flash,pr-e19,Alphabet Inc. fair value of equity securities adverse 10% price decline December 31 2024
deepseek-v4-flash,pr-e20,Microsoft FY2024 10-K risk factor FTC challenge Activision Blizzard acquisition
deepseek-v4-flash,pr-c06,Apple net income comparison fiscal year 2024 2025 Services segment impact
